epoch,sequence_number,network_total_transactions,content_digest,computation_cost,storage_cost,storage_rebate,non_refundable_storage_fee,timestamp_ms,transactions
12,1000004,155423463,F37iUYmnRV6LZDhQMA3aFTfotRQQQTVMbJG5SuwEJYHR,10582871248892,22014067188800,11941831927872,120624564928,1684836594513,150
,4YJvbGG69VmKXBeKAdeAzZQkPvPj8sLuF4353jQxmHDq,10582592248892,22013494316000,11941533954900,120621555100,1684836592611,161
12,1000003,155423313,9F5GxgRFesg4f4DZ7sbiMUxuvx94ZTPmpTFfmf8x42FQ,10582722248892,22013751196000,11941661110500,120622839500,1684836593537,131
12,1000006,155423780,FUS4kqGqZuSubiBotinaFuVqEwytUSmEEhVCforvHXuF,10583195248892,22014710696000,11942165210976,120627931424,1684836596510,165
12,1000009,155424260,8UpjtfkWCtoQU8aLPWnYxZbbQNo9ehVVPeayMTXVJRww,10583672248892,22015788064400,11942816842044,120634513556,1684836599864,183
12,1000007,155423936,9ZckSYbBFqFVLo7e9AA4Um258DCTNrjH2mhMpSDy6xbn,10583350248892,22015090840400,11942416790964,120630472636,1684836597528,156
12,1000008,155424077,2tuobF5pZSK19x2UKkZQKWAUGMFmTFXPCcBpdGCt3YKo,10583490248892,22015416242000,11942619261804,120632517796,1684836599122,141
12,1000005,155423615,GCkF5vj1vYpCQ6S98C9ctXR5JyWVj9x7bJdMNAmNSg4s,10583031248892,22014373620800,11941985387376,120626115024,1684836595494,152
12,1000010,155424425,5N8uNj1mJAPUUrTErCaVVTtADaxPkxT3nAbuamHu3bPz,10583836248892,22016124334000,11942994859884,120636311716,1684836600703,165
12,1000014,155425027,7eM6Y4pcf8pDV5UatDjetq9ikTReETgF2kVJyAzdp9tj,10584492248892,22017472209200,11943757417284,120644014316,1684836604691,151
12,1000012,155424727,AJRiJQPof57K1iWoheLxEcuR1gqkjirM3K6RkGFQiQaG,10584194248892,22016871178400,11943453221964,120640941636,1684836602760,160
12,1000011,155424567,F43BDZh5R9Xg7oWjeG9rrLsyEndaSwikR82vQtLbgYDg,10584035248892,22016544804000,11943279116604,120639182996,1684836601689,142
12,1000013,155424876,3Df7jVQsLP2gRRm4EupY2yN3PDp9fFQGDrXsnM4j4LdG,10584342248892,22017163626400,11943597983724,120642403876,1684836603682,149
12,1000015,155425175,9E7EVsVsZtL6fb922J12EunhVyD2SYKqQTkxECLiXoyV,10584639248892,22017774894400,11943919785204,120645654396,1684836605675,148
12,1000019,155425786,Gq5sUT6k6Lu1KBW5XesNAsNfRVRaVsyLZ9CgSt7JFGhA,10585278248892,22019086890000,11944635227316,120652881084,1684836609688,152
12,1000017,155425491,EEqLFXNFNn7jzxcXHMzcdypgt65upbZFyx9CndvBMVQR,10584966248892,22018497168000,11944337081292,120649869508,1684836607677,160
12,1000018,155425634,9yRGTZv38DwGm4cQKPMxr6FJ4FVrvmrre6VBnk7p39ty,10585127248892,22018788514000,11944487531196,120651389204,1684836608688,143
12,1000016,155425331,H78QnmUnYmATU9PwQYWfgeoPMeL5W7MFWHvjXeuWbPPo,10584794248892,22018093387600,11944089978084,120647373516,1684836606778,156
12,1000020,155425944,HrsCSrocAjRhgsVK4k23XFsP67Nhr9ZpVqPKPBQKKa55,10585435248892,22019398794000,11944792403676,120654468724,1684836610700,158
12,1000022,155426229,3uXX3YuCx46NTJJ33Lt9Bfn5KheyfQ5wGLeoJwzA6Umo,10585718248892,22019984260000,11945108810448,120657664752,1684836612679,144
12,1000021,155426085,w292JHBm9QJiUjfTSibD2ZNsPM3B9C6GKpSJ7j9xV61,10585575248892,22019687632000,11944948902876,120656049524,1684836611683,141
